ids,names
http://www.wikidata.org/entity/Q93861223,Durc
http://www.wikidata.org/entity/Q93883805,Aga
http://www.wikidata.org/entity/Q10322723,Macbeth
http://www.wikidata.org/entity/Q1470558,King Ghidorah
http://www.wikidata.org/entity/Q1083020,Scrappy-Doo
http://www.wikidata.org/entity/Q206018,Arwen
http://www.wikidata.org/entity/Q907767,Doctor Strange
http://www.wikidata.org/entity/Q93859177,Broud
http://www.wikidata.org/entity/Q15141696,Twilight Sparkle
http://www.wikidata.org/entity/Q51766,Darth Maul
http://www.wikidata.org/entity/Q64825451,Thanos
http://www.wikidata.org/entity/Q1568510,Number One
http://www.wikidata.org/entity/Q79037,Spider-Man
