ids,names
http://www.wikidata.org/entity/Q1395950,Schoolly D
http://www.wikidata.org/entity/Q1396434,Nitin Sawhney
http://www.wikidata.org/entity/Q1396982,Michel Magne
http://www.wikidata.org/entity/Q1398387,Pedro Olea
http://www.wikidata.org/entity/Q1399492,Gary Go
http://www.wikidata.org/entity/Q1401419,Karim Debbagh
http://www.wikidata.org/entity/Q1414815,György Vukán
http://www.wikidata.org/entity/Q1418450,Michaela Melián
http://www.wikidata.org/entity/Q1422441,Minoru Miki
http://www.wikidata.org/entity/Q1422989,William Perlberg
http://www.wikidata.org/entity/Q1425373,Richard Maynard
http://www.wikidata.org/entity/Q14271790,Ville Golovko
http://www.wikidata.org/entity/Q1429441,Florent Marchet
http://www.wikidata.org/entity/Q143198,Arnold Bax
http://www.wikidata.org/entity/Q143506,Carlos d'Alessio
http://www.wikidata.org/entity/Q1437111,Raymond Tarabay
http://www.wikidata.org/entity/Q1439818,Brian Easdale
http://www.wikidata.org/entity/Q1442609,Yūji Ōno
http://www.wikidata.org/entity/Q1445929,Hansjürgen Pohland
http://www.wikidata.org/entity/Q1450994,François Couturier
http://www.wikidata.org/entity/Q1451229,Sergey Nikolaevich Starostin
http://www.wikidata.org/entity/Q1452393,Fred Katz
http://www.wikidata.org/entity/Q1452407,Fred Kohlmar
http://www.wikidata.org/entity/Q1452607,Freddie Rich
http://www.wikidata.org/entity/Q1454572,Mark Lothar
http://www.wikidata.org/entity/Q14621400,Semiya Simsek
http://www.wikidata.org/entity/Q1474567,Alice Brauner-Orthen
http://www.wikidata.org/entity/Q14848575,Dmitrii Mednikov
http://www.wikidata.org/entity/Q14848579,Anton Zlatopolsky
http://www.wikidata.org/entity/Q14848580,Sergey Shumakov
http://www.wikidata.org/entity/Q1489537,Gabriel Pascal
http://www.wikidata.org/entity/Q1491825,Mocean Worker
http://www.wikidata.org/entity/Q1493073,Nils Frahm
http://www.wikidata.org/entity/Q1493931,Kenneth Macgowan
http://www.wikidata.org/entity/Q150445,Camille Saint-Saëns
http://www.wikidata.org/entity/Q1504576,Georg Haentzschel
http://www.wikidata.org/entity/Q1505766,Georg Riedel
http://www.wikidata.org/entity/Q15064322,Oksana Barkovskaya
http://www.wikidata.org/entity/Q1506958,George Bassman
http://www.wikidata.org/entity/Q15069928,Denis Poncet
http://www.wikidata.org/entity/Q15070164,John Askew
http://www.wikidata.org/entity/Q15072204,Armen Medvedev
http://www.wikidata.org/entity/Q150767,Benjamin Britten
http://www.wikidata.org/entity/Q1508856,Georges Dancigers
http://www.wikidata.org/entity/Q1509535,William Cagney
http://www.wikidata.org/entity/Q1511182,Static Major
http://www.wikidata.org/entity/Q1511292,Gerhard Becker
http://www.wikidata.org/entity/Q1512286,Kinan Azmeh
http://www.wikidata.org/entity/Q15135567,Luis Mendo
http://www.wikidata.org/entity/Q15149339,Carole Scotta
http://www.wikidata.org/entity/Q1515381,Gert Wilden jr.
http://www.wikidata.org/entity/Q1516833,Michael Minkler
http://www.wikidata.org/entity/Q15176626,Eduardo Barinaga
http://www.wikidata.org/entity/Q15198545,Bruno Levy
http://www.wikidata.org/entity/Q15218269,Vadde Ramesh
http://www.wikidata.org/entity/Q1526764,Qigang Chen
http://www.wikidata.org/entity/Q15291030,Cristobal Tapia de Veer
http://www.wikidata.org/entity/Q1534615,Stu Phillips
http://www.wikidata.org/entity/Q153469,Krzysztof Penderecki
http://www.wikidata.org/entity/Q1535872,Steve Lynch
http://www.wikidata.org/entity/Q15429018,Kit Hain
http://www.wikidata.org/entity/Q15429514,Nicholas Britell
http://www.wikidata.org/entity/Q15434762,Jack Livesey
http://www.wikidata.org/entity/Q15440196,Jonathan Taplin
http://www.wikidata.org/entity/Q15440406,Eugen Illin
http://www.wikidata.org/entity/Q1544942,Greg Kurstin
http://www.wikidata.org/entity/Q15452293,Florian Volxem
http://www.wikidata.org/entity/Q15453112,Robert J. Walsh
http://www.wikidata.org/entity/Q154632,Niels Gade
http://www.wikidata.org/entity/Q154691,Carlos Fuentes
http://www.wikidata.org/entity/Q15486048,Vanraj Bhatia
http://www.wikidata.org/entity/Q15492646,John Dark
http://www.wikidata.org/entity/Q155236,Udo Jürgens
http://www.wikidata.org/entity/Q155474,Daniele Amfitheatrof
http://www.wikidata.org/entity/Q15549874,Sarah Pillsbury
http://www.wikidata.org/entity/Q1555000,Gunther Witte
http://www.wikidata.org/entity/Q1555337,Gus Viseur
http://www.wikidata.org/entity/Q1557228,Monica C. Lozano
http://www.wikidata.org/entity/Q15644512,Ubaldo Continiello
http://www.wikidata.org/entity/Q156491,Bonnie Tyler
http://www.wikidata.org/entity/Q15696044,Lele Marchitelli
http://www.wikidata.org/entity/Q1570061,Pierre Jansen
http://www.wikidata.org/entity/Q15715050,Daniele Patucchi
http://www.wikidata.org/entity/Q15732543,Sergey Melkumov
http://www.wikidata.org/entity/Q158078,Alfred Schnittke
http://www.wikidata.org/entity/Q15816057,Howard Gottfried
http://www.wikidata.org/entity/Q1581729,Hans Peter Ströer
