LInk,Property,Property_pastedval,Name of Relation,In movie
http://www.wikidata.org/prop/direct/P4608,,scenographer(P4608),P4608,FALSE
http://www.wikidata.org/prop/direct/P4805,,make-up artist(P4805),P4805,FALSE
http://www.wikidata.org/prop/direct/P4908,,season(P4908),P4908,FALSE
http://www.wikidata.org/prop/direct/P4969,,derivative work(P4969),P4969,FALSE
http://www.wikidata.org/prop/direct/P5021,,assessment(P5021),P5021,FALSE
http://www.wikidata.org/prop/direct/P5028,,sound designer(P5028),P5028,TRUE
http://www.wikidata.org/prop/direct/P5072,,presented in(P5072),P5072,TRUE
http://www.wikidata.org/prop/direct/P5096,,member of the crew of(P5096),P5096,FALSE
http://www.wikidata.org/prop/direct/P5150,,IGAC rating(P5150),P5150,TRUE
http://www.wikidata.org/prop/direct/P5152,,KAVI rating(P5152),P5152,TRUE
http://www.wikidata.org/prop/direct/P5201,,IMDA rating(P5201),P5201,TRUE
http://www.wikidata.org/prop/direct/P5389,,permanent resident of(P5389),P5389,FALSE
http://www.wikidata.org/prop/direct/P5940,,plot expanded in(P5940),P5940,FALSE
http://www.wikidata.org/prop/direct/P5970,,Medierådet rating(P5970),P5970,FALSE
http://www.wikidata.org/prop/direct/P6166,,quotes work(P6166),P6166,FALSE
http://www.wikidata.org/prop/direct/P6216,,copyright status(P6216),P6216,TRUE
http://www.wikidata.org/prop/direct/P6275,,copyright representative(P6275),P6275,FALSE
http://www.wikidata.org/prop/direct/P6379,,has works in the collection(P6379),P6379,FALSE
http://www.wikidata.org/prop/direct/P6658,,RCQ classification(P6658),P6658,TRUE
http://www.wikidata.org/prop/direct/P6886,,writing language(P6886),P6886,FALSE
http://www.wikidata.org/prop/direct/P6942,,animator(P6942),P6942,FALSE
http://www.wikidata.org/prop/direct/P6962,,narrative motif(P6962),P6962,FALSE
http://www.wikidata.org/prop/direct/P7047,,enemy of(P7047),P7047,FALSE
http://www.wikidata.org/prop/direct/P7327,OFLC classification(P7327),OFLC classification(P7327),P7327,FALSE
http://www.wikidata.org/prop/direct/P7573,,IFCO rating(P7573),P7573,FALSE
http://www.wikidata.org/prop/direct/P7936,,business model(P7936),P7936,FALSE
http://www.wikidata.org/prop/direct/P7937,,form of creative work(P7937),P7937,FALSE
http://www.wikidata.org/prop/direct/P7959,historic county(P7959),historic county(P7959),P7959,FALSE
http://www.wikidata.org/prop/direct/P8345,,media franchise(P8345),P8345,FALSE
http://www.wikidata.org/prop/direct/P8371,"references work, tradition or theory(P8371)","references work, tradition or theory(P8371)",P8371,FALSE
http://www.wikidata.org/prop/direct/P8411,set in environment(P8411),set in environment(P8411),P8411,FALSE
http://www.wikidata.org/prop/direct/P8670,character designer(P8670),character designer(P8670),P8670,FALSE
http://www.wikidata.org/prop/direct/P8874,,Hong Kong film rating(P8874),P8874,FALSE
http://www.wikidata.org/prop/direct/P8889,,MTRCB rating(P8889),P8889,FALSE
http://www.wikidata.org/prop/direct/P9086,,BAMID film rating(P9086),P9086,FALSE
http://www.wikidata.org/prop/direct/P9215,,set during recurring event(P9215),P9215,FALSE
